,StateName,f_voters_turnout,m_voters_turnout,year
1647,Meghalaya,78.04550058595574,78.17414123742556,2014
1649,Meghalaya,65.33574773499943,60.983661838142076,2014
1651,Mizoram,63.08570561402569,67.52396166134186,1999
1652,Mizoram,48.42015290971539,53.00067170822794,2009
1653,Mizoram,61.48170919151552,64.13217579556341,2004
1654,Mizoram,59.97370424580911,61.42730468287414,2014
1658,Nagaland,75.27363128863634,77.1121430790326,1999
1659,Nagaland,87.65001184642908,88.04115780043229,2014
1660,Nagaland,89.22415663808442,90.69544066839855,2009
1661,Nagaland,90.22554261519383,92.42717239917091,2004
1664,Odisha,71.3964820176434,71.66006436720195,2014
1668,Odisha,67.03317501192947,73.47648696532524,2004
1669,Odisha,69.08238220265802,68.54038305254726,2009
1670,Odisha,52.42534395275068,67.31641418568438,1999
1671,Odisha,43.72683403187637,57.55893326852699,1999
1672,Odisha,55.19858488722098,66.78428923290195,1999
1673,Odisha,65.04756596315092,72.5315736719011,2004
1674,Odisha,60.153545894824255,70.03780922545101,2004
1675,Odisha,78.67359257798881,74.90688553617296,2014
1676,Odisha,49.396132211460305,64.11627217386754,1999
1677,Odisha,39.33833579922097,54.25480880178911,1999
1678,Odisha,67.36993584043296,71.70268600528887,2009
1679,Odisha,58.927006615694374,58.8544571672299,2009
1680,Odisha,75.14019722243334,77.07955910677168,2014
1681,Odisha,63.449012959513254,66.23056190723148,2009
1683,Odisha,53.50228897998265,59.632471330463645,1999
1685,Odisha,55.79370975502296,68.901671097887,1999
1686,Odisha,63.78885853118086,70.8804127185599,2004
1687,Odisha,52.08493037363849,59.18317140441574,1999
1688,Odisha,78.1690378727625,79.34553899748403,2014
1689,Odisha,58.74433432369717,58.041275348447684,2014
1691,Odisha,70.21377777449584,67.02331907251889,2009
1693,Odisha,69.79164772003857,65.72238874668822,2009
1694,Odisha,70.80145997322252,71.75590332764368,2004
1697,Odisha,57.072014304417564,63.36188519176783,2004
1699,Odisha,68.41618761337433,66.78183302971293,2009
1700,Odisha,67.53842989416714,70.39078788461423,2004
1702,Odisha,65.38737241949909,61.60870616545909,2009
1703,Odisha,69.29104543762298,71.5366313660531,2009
1704,Odisha,61.4113570188509,71.48537945253773,2004
1705,Odisha,62.55839644146812,67.75251486357364,2009
1707,Odisha,63.21010072738071,71.44627890845432,2004
1708,Odisha,56.917785045674975,80.43036827163664,2009
1709,Odisha,53.98317013347167,69.25900529920773,1999
1710,Odisha,77.99690024219557,69.37162230203752,2014
1711,Odisha,43.46799598555916,56.54643576869215,1999
1712,Odisha,47.96701765308449,56.61245643129112,1999
1713,Odisha,55.510019016762925,58.68459517648685,2004
1714,Odisha,71.88999540155645,69.13167908004849,2004
1717,Odisha,70.94825814096906,76.52727882100685,2014
1719,Odisha,47.09266882916513,61.42152548057525,1999
1721,Odisha,71.0640834755662,67.01813537971813,2004
