,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
2583,Uttar Pradesh,UP,S24,1,Fatehpur Sikri,877271,703267,1580582,565514,401637,967152,2014,397,,0,FATEHPUR SIKRI
2579,Uttar Pradesh,UP,S24,1,Firozabad,902532,734206,1636738,643026,461542,1104568,2014,398,,0,FIROZABAD
1802,Punjab,PB,S19,1,Firozpur,808857,713236,1522111,590404,514569,1104973,2014,308,,1,FIROZPUR
1511,Maharashtra,MH,S13,1,Gadchiroli-Chimur,752751,715686,1468437,537674,489980,1027654,2014,235,,1,GADCHIROLI-CHIMUR
738,Gujarat,GJ,S06,1,Gandhinagar,900744,833210,1733972,617164,511490,1128656,2014,106,,0,GANDHINAGAR
1934,Rajasthan,RJ,S20,1,Ganganagar,909749,808665,1718414,678212,573241,1251453,2014,312,,0,GANGANAGAR
3173,Uttarakhand,UK,S28,2,Garhwal,651868,615350,1267218,320955,357047,678002,2014,527,,1,GARHWAL
334,Assam,AS,S03,1,Gauhati,988067,934203,1922270,784535,727081,1511616,2014,51,,0,GAUHATI
2505,Uttar Pradesh,UP,S24,1,Gautam Buddha Nagar,1105732,880377,1986109,707052,491342,1198394,2014,391,,0,GAUTAM BUDHHA NAGAR
512,Bihar,BH,S04,1,Gaya (SC),799210,702311,1501521,442912,364010,806922,2014,96,,1,GAYA
2942,West Bengal,WB,S25,1,Ghatal,835803,774672,1610489,690945,675066,1366019,2014,490,,0,GHATAL
2692,Uttar Pradesh,UP,S24,1,Ghaziabad,1333055,1024455,2357553,781962,559856,1341818,2014,390,,0,GHAZIABAD
2518,Uttar Pradesh,UP,S24,1,Ghazipur,983352,818105,1801519,528986,457272,986259,2014,453,,0,GHAZIPUR
2515,Uttar Pradesh,UP,S24,1,Ghosi,1040033,850934,1891112,547380,492131,1039511,2014,448,,0,GHOSI
3069,Jharkhand,JH,S27,1,Giridih,811587,700052,1511644,531982,439241,971223,2014,517,,1,GIRIDIH
3090,Jharkhand,JH,S27,1,Godda,840396,750375,1590772,549854,499254,1049108,2014,514,,0,GODDA
2455,Uttar Pradesh,UP,S24,1,Gonda,935167,775608,1710825,487483,384938,872422,2014,437,,0,GONDA
431,Bihar,BH,S04,1,Gopalganj (SC),871590,783212,1654838,444922,458639,903561,2014,75,,0,GOPALGANJ
2486,Uttar Pradesh,UP,S24,1,Gorakhpur,1055209,848621,1903988,582909,457008,1039934,2014,442,,0,GORAKHPUR
991,Karnataka,KA,S10,1,Gulbarga,878311,843454,1721990,522778,474347,997125,2014,151,,0,GULBARGA
1175,Madhya Pradesh,MP,S12,1,GUNA,857327,748265,1605613,580802,394613,975415,2014,198,,0,GUNA
7,Andhra Pradesh,AP,S01,1,Guntur,773037,798804,1572017,613894,623668,1237579,2014,30,,0,GUNTUR
