,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2456,Uttar Pradesh,UP,ETAWAH,703901,1264620,55.7,14.05,795,46.7,2004
2457,Uttar Pradesh,UP,Kaiserganj,565620,1376267,41.1,14.13,839,34.9,2009
2459,Uttar Pradesh,UP,BUDAUN,590006,1200435,49.1,14.0,816,39.1,2004
2460,Uttar Pradesh,UP,Hapur,736839,1568097,47.0,14.27,794,40.2,1999
2462,Uttar Pradesh,UP,Pilibhit,837846,1310007,64.0,14.09,842,58.7,2009
2465,Uttar Pradesh,UP,Amroha,1095731,1544245,71.0,14.25,862,70.8,2014
2466,Uttar Pradesh,UP,Rampur,820796,1322470,62.1,14.1,847,60.9,1999
2467,Uttar Pradesh,UP,Machhlishahr,717804,1751074,41.0,14.38,872,43.4,2009
2468,Uttar Pradesh,UP,Varanasi,633826,1407844,45.0,14.16,817,45.1,1999
2469,Uttar Pradesh,UP,Farrukhabad,640642,1241968,51.6,14.03,811,36.5,1999
2470,Uttar Pradesh,UP,KHALILABAD,700982,1397045,50.2,14.15,790,49.5,2004
2476,Uttar Pradesh,UP,Bahraich,512700,1246823,41.1,14.04,843,32.9,2009
2477,Uttar Pradesh,UP,Aonla,592306,1008983,58.7,13.82,818,58.7,1999
2479,Uttar Pradesh,UP,Misrikh,607529,1464770,41.5,14.2,812,34.5,2009
2481,Uttar Pradesh,UP,AMETHI,589559,1324991,44.5,14.1,893,38.4,2004
2482,Uttar Pradesh,UP,HAMIRPUR,604055,1185235,51.0,13.99,813,43.6,2004
2484,Uttar Pradesh,UP,PADRAUNA,790041,1501706,52.6,14.22,827,48.4,2004
2485,Uttar Pradesh,UP,BAREILLY,822839,1556024,52.9,14.26,832,45.6,2004
2486,Uttar Pradesh,UP,Gorakhpur,1039934,1903988,54.6,14.46,804,53.9,2014
2487,Uttar Pradesh,UP,FAIZABAD,686478,1326533,51.7,14.1,850,47.2,2004
2488,Uttar Pradesh,UP,Sultanpur,707852,1430955,49.5,14.17,872,49.6,2009
2489,Uttar Pradesh,UP,Ballia,941182,1768271,53.2,14.39,817,53.3,2014
2490,Uttar Pradesh,UP,Hardoi,560331,1083894,51.7,13.9,817,37.3,1999
2491,Uttar Pradesh,UP,Kushi Nagar,950064,1680992,56.5,14.33,806,59.2,2014
2493,Uttar Pradesh,UP,BARA BANKI (SC),540219,1214993,44.5,14.01,860,34.6,2004
2494,Uttar Pradesh,UP,Sambhal,629490,1081421,58.2,13.89,827,52.1,1999
2496,Uttar Pradesh,UP,Sitapur,1026334,1550263,66.2,14.25,850,62.4,2014
2500,Uttar Pradesh,UP,MEERUT,697471,1329974,52.4,14.1,839,43.7,2004
2501,Uttar Pradesh,UP,Misrikh,619588,1089677,56.9,13.9,823,42.4,1999
2502,Uttar Pradesh,UP,Kanpur,834718,1611248,51.8,14.29,812,48.4,2014
2503,Uttar Pradesh,UP,JALAUN (SC),579748,1310156,44.3,14.09,816,35.3,2004
2504,Uttar Pradesh,UP,Ambedkar Nagar,811338,1494838,54.3,14.22,872,54.3,2009
2505,Uttar Pradesh,UP,Gautam Buddha Nagar,1198394,1986109,60.3,14.5,796,55.8,2014
2506,Uttar Pradesh,UP,Bara Banki,631347,1089797,57.9,13.9,860,49.5,1999
2507,Uttar Pradesh,UP,Aligarh,690576,1345351,51.3,14.11,808,47.3,2009
2508,Uttar Pradesh,UP,BALRAMPUR,698106,1316006,53.0,14.09,820,48.3,2004
2509,Uttar Pradesh,UP,FIROZABAD (SC),531305,1305888,40.7,14.08,815,27.9,2004
2510,Uttar Pradesh,UP,GONDA,606618,1391430,43.6,14.15,845,33.9,2004
2511,Uttar Pradesh,UP,Sultanpur,622094,1220728,51.0,14.01,840,50.2,1999
